ime,prezime,datum_rodjenja,telefon_roditelja,ime_roditelja,kategorija_clanarine,datum_lekarskog,selekcija
Mihailo,Jovanović,2014-10-21,061-576-1403,Vasilija Jovanović,regularna,2026-07-11,Škola odbojke Vračar
Milica,Todorović,2015-09-12,067-356-6195,Strahinja Todorović,regularna,2026-03-27,Škola odbojke Vračar
Jelena,Radovanović,2011-06-16,063-793-3664,David Radovanović,regularna,2026-06-10,Škola odbojke Vračar
Mihailo,Todorović,2008-07-06,065-390-2588,Tijana Todorović,popust30,2026-05-26,Škola odbojke Vračar
Dunja,Marković,2008-11-13,060-778-9134,Teodor Marković,regularna,2026-03-29,Škola odbojke Vračar
Lena,Nikolić,2015-08-02,062-127-5589,Petar Nikolić,popust10,2026-08-01,Škola odbojke Vračar
Jelena,Stanković,2014-01-09,063-748-9256,Damjan Stanković,regularna,2026-04-02,Škola odbojke Vračar
Strahinja,Stevanović,2013-05-11,068-615-6611,Dunja Stevanović,regularna,2026-02-27,Škola odbojke Vračar
Hana,Cvetković,2012-04-26,064-929-5877,Luka Cvetković,regularna,,Škola odbojke Vračar
Katarina,Lukić,2010-09-22,065-582-7550,Nikola Lukić,popust30,2026-03-05,Škola odbojke Vračar
Vuk,Pavlović,2014-05-09,062-725-5283,Zoe Pavlović,drugo_dete,2026-07-21,Škola odbojke Novi Beograd
Bogdan,Vuković,2011-01-19,064-605-9059,Aleksandra Vuković,regularna,2026-05-24,Škola odbojke Novi Beograd
Filip,Blagojević,2013-04-21,069-893-2928,Dunja Blagojević,drugo_dete,2026-05-04,Škola odbojke Novi Beograd
Mia,Pavlović,2010-11-09,061-438-6381,Filip Pavlović,regularna,2026-06-09,Škola odbojke Novi Beograd
Sofija,Antić,2010-05-07,068-599-2079,Andrej Antić,regularna,,Škola odbojke Novi Beograd
Teodor,Antić,2010-05-07,069-472-4953,Kristina Antić,regularna,2026-08-05,Škola odbojke Novi Beograd
Nađa,Ristić,2015-09-14,063-516-4856,Pavle Ristić,popust10,2026-08-02,Škola odbojke Novi Beograd
Petar,Vasić,2011-11-18,068-357-9866,Nina Vasić,regularna,2026-04-09,Škola odbojke Novi Beograd
Matija,Stojanović,2015-03-06,068-379-6231,Sofija Stojanović,regularna,2026-03-10,Škola odbojke Novi Beograd
David,Petrović,2007-02-16,063-358-1918,Sofija Petrović,popust10,,Škola odbojke Novi Beograd
Ivana,Lukić,2010-07-16,069-903-5010,David Lukić,regularna,2026-06-22,Škola odbojke Novi Beograd
Mia,Nikolić,2013-04-02,069-585-7596,Miloš Nikolić,regularna,2026-02-13,Škola odbojke Novi Beograd
Ivana,Kostić,2005-04-28,067-701-6170,Aleksandar Kostić,popust30,,Škola odbojke Novi Beograd
Vanja,Stanković,2015-09-19,066-856-7534,Strahinja Stanković,regularna,2026-02-01,Škola odbojke Novi Beograd
David,Pavlović,2006-11-14,063-563-8129,Anđela Pavlović,regularna,2026-08-17,Škola odbojke Novi Beograd
Aleksandra,Živković,2011-12-16,068-565-7160,Stefan Živković,drugo_dete,2026-01-30,Škola odbojke Novi Beograd
Nikolina,Nikolić,2006-04-24,069-712-8450,Mihailo Nikolić,regularna,2026-06-07,Škola odbojke Novi Beograd
Stefan,Antić,2008-12-11,069-828-7411,Tijana Antić,regularna,2026-05-26,Škola odbojke Novi Beograd
Ivana,Nikolić,2010-07-10,063-865-8104,Uroš Nikolić,regularna,2026-08-09,Škola odbojke Novi Beograd
Stefan,Simić,2006-12-12,069-589-5121,Jelena Simić,regularna,2026-04-01,Škola odbojke Novi Beograd
Mila,Stojanović,2008-06-26,068-122-5496,Luka Stojanović,trece_dete,2026-04-09,Škola odbojke Novi Beograd
Hana,Stojanović,2011-11-16,064-925-7881,Lazar Stojanović,drugo_dete,,Škola odbojke Novi Beograd
Pavle,Kostić,2011-10-01,064-461-8087,Tijana Kostić,trece_dete,,Škola odbojke Novi Beograd
Vasilije,Radovanović,2012-06-27,063-489-5483,Marija Radovanović,regularna,2026-04-07,Škola odbojke Novi Beograd
Uroš,Ristić,2007-03-26,064-741-5091,Nina Ristić,regularna,2026-07-23,Škola odbojke Novi Beograd
Marko,Obradović,2005-05-01,067-158-1460,Nikolina Obradović,popust30,2026-05-30,Škola odbojke Novi Beograd
Nemanja,Lukić,2006-06-26,063-966-8764,Mia Lukić,drugo_dete,2026-05-01,Škola odbojke Novi Beograd
Sara,Popović,2008-04-20,069-427-3461,Mihailo Popović,popust30,2026-05-27,Škola odbojke Novi Beograd
Vanja,Stojanović,2012-11-25,062-584-6819,Filip Stojanović,popust20,2026-06-28,Škola odbojke Novi Beograd
Sara,Stevanović,2013-08-23,060-970-2026,Nikola Stevanović,oslobodjen,2026-04-05,Škola odbojke Novi Beograd
Nikola,Todorović,2014-08-20,068-982-7333,Jelena Todorović,regularna,2026-05-08,Škola odbojke Novi Beograd
Filip,Živković,2006-01-22,062-812-6282,Tijana Živković,regularna,2026-06-10,Škola odbojke Novi Beograd
Nemanja,Jovanović,2006-01-08,064-406-5275,Katarina Jovanović,regularna,,Škola odbojke Novi Beograd
Marija,Jović,2010-02-06,061-580-9384,Vukan Jović,regularna,2026-02-10,Škola odbojke Novi Beograd
Kristina,Lukić,2007-07-12,068-371-8677,Mihailo Lukić,regularna,2026-04-08,Škola odbojke Novi Beograd
Vuk,Jovanović,2011-01-21,060-735-8474,Nađa Jovanović,regularna,2026-05-20,Škola odbojke Novi Beograd
Nikolina,Ristić,2004-07-17,068-332-4189,David Ristić,regularna,,Škola odbojke Novi Beograd
Kristina,Vasić,2006-01-28,064-629-6845,Jovan Vasić,regularna,2026-07-25,Škola odbojke Novi Beograd
Uroš,Obradović,2015-02-15,068-545-9956,Mia Obradović,popust20,,Škola odbojke Novi Beograd
Teodor,Kostić,2013-11-16,063-557-9905,Lara Kostić,regularna,2026-03-14,Škola odbojke Novi Beograd
Teodor,Stanković,2013-10-03,063-880-6097,Nina Stanković,regularna,2026-04-01,Škola odbojke Novi Beograd
Vukan,Stojanović,2005-03-02,065-135-3302,Anđela Stojanović,regularna,2026-02-14,Škola odbojke Novi Beograd
Andrej,Đukić,2011-12-06,065-750-2887,Isidora Đukić,popust20,,Škola odbojke Novi Beograd
Uroš,Milošević,2006-07-23,062-525-9111,Lara Milošević,popust30,2026-06-22,Škola odbojke Novi Beograd
Anđela,Aksentijević,2010-02-09,062-811-4885,Relja Aksentijević,regularna,2026-03-05,Škola odbojke Novi Beograd
Lazar,Cvetković,2007-12-11,067-107-1964,Elena Cvetković,regularna,2026-05-16,Škola odbojke Novi Beograd
Nikola,Pavlović,2004-06-20,065-670-6407,Jovana Pavlović,regularna,,Škola odbojke Novi Beograd
Marko,Popović,2015-11-19,063-559-4107,Dunja Popović,popust10,2026-08-03,Škola odbojke Novi Beograd
Uroš,Ilić,2013-07-20,066-863-3673,Anastasija Ilić,trece_dete,2026-08-09,Škola odbojke Novi Beograd
Milica,Đorđević,2015-01-01,063-997-7241,Filip Đorđević,regularna,,Škola odbojke Novi Beograd
Andrej,Vuković,2013-10-04,063-393-3948,Ivana Vuković,regularna,2026-05-03,Škola odbojke Zemun
Pavle,Đukić,2013-03-27,068-910-7152,Marija Đukić,regularna,,Škola odbojke Zemun
Petar,Jovanović,2010-10-01,063-925-6501,Nađa Jovanović,regularna,2026-02-02,Škola odbojke Zemun
Nađa,Radovanović,2010-03-13,065-823-2764,Relja Radovanović,popust30,,Škola odbojke Zemun
Katarina,Milošević,2010-12-24,062-743-7444,Matija Milošević,regularna,2026-07-25,Škola odbojke Zemun
Strahinja,Vasić,2006-10-20,069-690-5544,Nina Vasić,regularna,2026-03-08,Škola odbojke Zemun
Milica,Đorđević,2007-10-03,062-895-2018,Uroš Đorđević,regularna,2026-06-12,Škola odbojke Zemun
Uroš,Živković,2011-08-22,060-368-4064,Anđela Živković,regularna,2026-03-20,Škola odbojke Zemun
Vukan,Vuković,2007-09-20,065-851-1017,Anđela Vuković,regularna,,Škola odbojke Zemun
Lazar,Todorović,2007-09-21,060-166-8065,Milica Todorović,drugo_dete,2026-01-29,Škola odbojke Zemun
Anastasija,Savić,2014-11-14,064-425-7512,Strahinja Savić,regularna,2026-02-14,Škola odbojke Zemun
Ivana,Cvetković,2005-03-20,069-265-1578,Luka Cvetković,regularna,2026-07-07,Škola odbojke Zemun
Relja,Cvetković,2004-06-04,060-242-8526,Sara Cvetković,drugo_dete,2026-02-28,Škola odbojke Zemun
Zoe,Kostić,2006-02-02,060-587-4757,Damjan Kostić,regularna,,Škola odbojke Zemun
Jovan,Stojanović,2013-02-20,065-223-7108,Sara Stojanović,popust30,2026-05-19,Škola odbojke Zemun
Jelena,Đukić,2004-11-18,065-393-8275,Mihailo Đukić,oslobodjen,2026-05-06,Škola odbojke Zemun
Anastasija,Jovanović,2014-08-20,068-260-9362,Petar Jovanović,regularna,,Škola odbojke Zemun
Nemanja,Živković,2010-12-10,061-566-9285,Nina Živković,regularna,2026-05-14,Škola odbojke Zemun
Dunja,Cvetković,2011-02-04,060-818-7547,Strahinja Cvetković,popust10,,Škola odbojke Zemun
Miloš,Đorđević,2010-10-08,062-555-5834,Vasilija Đorđević,regularna,2026-06-29,Škola odbojke Zemun
Filip,Blagojević,2013-03-06,062-216-2055,Dunja Blagojević,popust20,2026-06-29,Škola odbojke Zemun
Ivana,Stojanović,2011-01-11,062-534-2231,Nikola Stojanović,regularna,2026-03-09,Škola odbojke Zemun
Lara,Simić,2010-01-20,062-581-9106,Ivan Simić,regularna,2026-05-08,Škola odbojke Zemun
Bogdan,Nikolić,2005-08-20,062-428-1990,Hana Nikolić,drugo_dete,2026-01-31,Škola odbojke Zemun
Luka,Stanković,2008-09-18,064-354-3807,Zoe Stanković,popust10,2026-07-10,Škola odbojke Zemun
Nina,Todorović,2015-12-08,067-164-2937,Bogdan Todorović,popust10,,Škola odbojke Zemun
Bogdan,Filipović,2015-08-12,063-477-2263,Dunja Filipović,regularna,2026-03-20,Škola odbojke Zemun
Vasilije,Nikolić,2015-09-20,069-912-8082,Kristina Nikolić,regularna,2026-05-19,Škola odbojke Zemun
Elena,Marković,2011-08-12,068-967-5396,Vukan Marković,drugo_dete,2026-06-10,Škola odbojke Zemun
Sofija,Đukić,2007-06-19,061-917-3846,Vukan Đukić,regularna,2026-03-13,Škola odbojke Zemun
Lazar,Đorđević,2004-09-09,067-331-2546,Kristina Đorđević,regularna,2026-04-23,Škola odbojke Zemun
Bogdan,Aksentijević,2011-05-24,067-130-4431,Isidora Aksentijević,popust30,2026-02-04,Škola odbojke Zemun
Mila,Ilić,2011-02-03,069-667-1247,Aleksandar Ilić,regularna,2026-03-22,Škola odbojke Zemun
Sofija,Todorović,2011-08-12,064-236-6893,Pavle Todorović,popust20,2026-02-28,Škola odbojke Zemun
Đorđe,Todorović,2013-03-18,061-615-2516,Elena Todorović,regularna,2026-07-13,Škola odbojke Zemun
Nađa,Jović,2011-02-25,067-761-1586,Aleksa Jović,popust10,,Škola odbojke Zemun
Marija,Marković,2008-07-26,068-862-8288,Pavle Marković,regularna,2026-02-13,Škola odbojke Zemun
Vuk,Antić,2014-03-15,062-677-5578,Jovana Antić,popust30,2026-05-30,Škola odbojke Zemun
Bogdan,Obradović,2011-09-13,061-316-2136,Mila Obradović,regularna,2026-02-07,Škola odbojke Zemun
Pavle,Todorović,2010-07-15,060-363-1974,Elena Todorović,drugo_dete,2026-04-04,Škola odbojke Zemun
Miloš,Ilić,2008-10-16,060-318-7223,Tijana Ilić,popust30,2026-03-06,Škola odbojke Zemun
Aleksandra,Lukić,2014-10-07,061-474-3695,Strahinja Lukić,regularna,2026-07-30,Škola odbojke Zemun
Luka,Filipović,2011-02-08,064-763-9808,Hana Filipović,oslobodjen,2026-04-28,Škola odbojke Zemun
Nemanja,Antić,2011-09-22,065-680-3376,Isidora Antić,regularna,,Škola odbojke Zemun
Hana,Ristić,2008-02-14,063-957-6746,Nikola Ristić,regularna,,Škola odbojke Zemun
Vuk,Marković,2010-01-19,069-490-6512,Isidora Marković,regularna,2026-05-27,Škola odbojke Zemun
Matija,Antić,2010-12-27,061-304-4095,Katarina Antić,regularna,2026-02-07,Škola odbojke Zemun
Vuk,Filipović,2007-08-12,061-583-2642,Sofija Filipović,regularna,2026-08-06,Škola odbojke Zemun
Kristina,Todorović,2005-06-07,063-224-8519,Aleksandar Todorović,regularna,2026-08-03,Škola odbojke Zemun
Lara,Nikolić,2015-01-02,064-392-5791,Bogdan Nikolić,regularna,2026-08-03,Škola odbojke Zemun
